디폴트 값: 12
i의 값은 0
i의 값은 1
i의 값은 2
i의 값은 3
i의 값은 4
i의 값은 5
i의 값은 6
i의 값은 7
i의 값은 8
i의 값은 9
i의 값은 10
i의 값은 11
i의 값은 12
i의 값은 13
i의 값은 14
i의 값은 15
i의 값은 16
i의 값은 17
i의 값은 18
i의 값은 19
i의 값은 20
i의 값은 21
i의 값은 22
i의 값은 23
i의 값은 24
i의 값은 25
i의 값은 26
i의 값은 27
i의 값은 28
i의 값은 29
i의 값은 30
i의 값은 31
i의 값은 32
i의 값은 33
i의 값은 34
i의 값은 35
i의 값은 36
i의 값은 37
i의 값은 38
i의 값은 39
i의 값은 40
i의 값은 41
i의 값은 42
i의 값은 43
i의 값은 44
i의 값은 45
i의 값은 46
i의 값은 47
i의 값은 48
i의 값은 49
i의 값은 50
i의 값은 51
i의 값은 52
i의 값은 53
i의 값은 54
i의 값은 55
i의 값은 56
i의 값은 57
i의 값은 58
i의 값은 59
i의 값은 60
i의 값은 61
i의 값은 62
i의 값은 63
i의 값은 64
i의 값은 65
i의 값은 66
i의 값은 67
i의 값은 68
i의 값은 69
i의 값은 70
i의 값은 71
i의 값은 72
i의 값은 73
i의 값은 74
i의 값은 75
i의 값은 76
i의 값은 77
i의 값은 78
i의 값은 79
i의 값은 80
i의 값은 81
i의 값은 82
i의 값은 83
i의 값은 84
i의 값은 85
i의 값은 86
i의 값은 87
i의 값은 88
i의 값은 89
i의 값은 90
i의 값은 91
i의 값은 92
i의 값은 93
i의 값은 94
i의 값은 95
i의 값은 96
i의 값은 97
i의 값은 98
i의 값은 99
